,Rank,Player,Gold,Silver,Bronze,S Tier,Earnings,medals
153,154,Leo,0,8,1,0,16742,9
154,155,HellrangeR,19,10,3,0,16588,32
155,156,mag0o,6,2,2,0,16375,10
156,157,skillZ,18,7,3,0,16262,28
157,158,SkRossi,18,6,2,0,16153,26
158,159,Jonn,9,4,0,0,16057,13
159,160,fr0st,11,7,1,0,16010,19
160,161,MkaeL,5,3,3,0,16000,11
161,162,Genghsta,2,5,6,0,15990,13
162,163,DEATHMAKER,7,9,4,0,15940,20
163,164,CREA,9,2,2,0,15921,13
164,165,dimasick,3,0,2,0,15912,5
165,166,Lightningfast,17,6,2,0,15891,25
166,167,huynh,6,5,3,0,15820,14
167,168,PTC,11,6,2,0,15819,19
168,169,murizzz,2,3,2,0,15706,7
169,170,Yacine,1,8,4,0,15452,13
170,171,qck,1,4,3,0,15449,8
171,172,valyn,14,13,1,0,15320,28
172,173,Tuna,12,3,0,0,14989,15
173,174,Bazzi,2,4,0,0,14982,6
174,175,kero,3,3,1,0,14954,7
175,176,Khalil,4,2,3,0,14944,9
176,177,jcStani,2,6,4,0,14850,12
177,178,LEGOO,3,3,0,0,14828,6
178,179,JohnOlsen,8,5,3,0,14762,16
179,179,ChAlalala,8,5,3,0,14762,16
180,181,LAMMYSNAX,8,5,2,0,14724,15
181,182,v1xen,7,6,1,0,14528,14
182,183,exy,3,3,0,0,14521,6
183,184,Fearoth,10,3,4,0,14486,17
184,185,TS,2,3,1,0,14312,6
185,186,Wedid,12,4,2,0,14286,18
186,187,Nyang,9,3,0,0,14269,12
187,188,hoody,2,3,2,0,14003,7
188,189,zizox,9,3,2,0,13890,14
189,190,ANDROID,2,4,2,0,13835,8
190,191,YaBoiDre,4,5,4,0,13725,13
191,192,Shanks,8,6,0,0,13655,14
192,193,rhyme,3,4,2,0,13618,9
193,194,dicey,3,3,1,0,13480,7
194,194,aproto,5,2,6,0,13480,13
195,196,AKUMAAAAA,7,4,2,0,13408,13
196,197,Marzil,6,5,2,0,13325,13
197,198,JonahP,6,2,1,0,13295,9
198,199,adverso,12,7,0,0,13135,19
199,200,Tacolilla,12,6,0,0,13057,18
200,201,hoppY,13,3,0,0,12976,16
201,202,XiSTOU,4,6,3,0,12972,13
202,203,moose,3,0,3,0,12932,6
203,204,luckeRRR,5,5,1,0,12841,11
204,205,logaN,12,2,0,0,12820,14
205,206,rodeN,14,4,0,0,12798,18
206,207,thief,4,5,6,0,12780,15
207,208,Melser,9,8,0,0,12713,17
208,209,rion,3,2,1,0,12687,6
209,210,kiNgg,8,7,0,0,12670,15
210,211,eeiu,1,6,2,0,12425,9
211,212,s0m,1,4,1,0,12375,6
212,213,stellar,6,3,5,0,12355,14
213,214,heat,3,2,1,0,12293,6
214,215,blaZek1ng,9,6,2,0,12283,17
215,216,tex,3,3,2,0,12275,8
216,217,Sayaplayer,2,0,0,0,12250,2
217,218,PLAYER1,7,3,2,0,12200,12
218,219,Fit1nho,10,5,1,0,12083,16
219,220,qRaxs,2,2,3,0,12023,7
220,221,neptune,4,6,1,0,11945,11
221,222,TakaS,13,3,1,0,11904,17
222,223,mazin,4,2,1,0,11901,7
223,224,10X,0,3,1,0,11898,4
224,225,fznnn,9,3,1,0,11878,13
225,226,neT,5,3,1,0,11850,9
226,227,toronto,4,7,2,0,11794,13
227,228,Shawn,7,3,1,0,11782,11
228,229,Cryocells,10,2,3,0,11700,15
229,230,Excali,21,12,8,0,11637,41
230,231,Tehbotol,7,5,3,0,11553,15
231,232,BerserX,7,5,2,0,11496,14
232,233,avez,9,4,1,0,11403,14
233,234,chiwawa,3,0,2,0,11360,5
234,235,fl1pzjder,6,4,3,0,11352,13
235,236,KP,12,12,6,0,11325,30
236,237,Antidote,18,9,4,0,11259,31
237,238,supamen,5,3,1,0,11250,9
238,239,Jady,4,2,0,0,11193,6
239,240,trent,3,1,0,0,11170,4
240,241,m1tez,1,9,1,0,11133,11
241,242,bENITA,4,6,2,0,11000,12
242,243,ade,3,5,0,0,10938,8
243,244,Duno,6,7,5,0,10890,18
244,245,Daveeys,9,5,1,0,10862,15
245,246,Brave,2,1,0,0,10844,3
246,247,poised,2,4,1,0,10830,7
247,248,zunba,2,6,1,0,10814,9
248,249,Esperanza,0,3,1,0,10742,4
249,250,ShoT_UP,3,3,2,0,10740,8
250,251,Efina,1,3,0,0,10706,4
251,252,Fisker,2,4,2,0,10669,8
252,253,eKo,5,2,0,0,10659,7
253,254,pANcada,10,1,2,0,10650,13
254,255,Rainy,11,1,2,0,10648,14
255,256,jammyz,6,8,1,0,10620,15
256,257,LEXY,6,7,2,0,10605,15
257,258,Harry,0,3,2,0,10568,5
258,259,HyP,9,6,3,0,10559,18
259,260,thwifo,6,6,2,0,10520,14
260,261,Derrek,8,6,2,0,10415,16
261,262,Cloud,2,7,2,0,10302,11
262,263,SuperBusS,8,4,1,0,10176,13
263,264,Critical,26,9,3,0,10171,38
264,265,Secret,2,4,1,0,10164,7
265,266,Izzy,1,1,0,0,10141,2
266,267,krain,7,5,0,0,9981,12
267,268,Jinggg,5,2,2,0,9866,9
268,269,flowerful,8,3,4,0,9720,15
269,270,HellFull,4,7,2,0,9703,13
270,271,prozin,4,2,1,0,9693,7
271,272,wippie,1,1,0,0,9675,2
272,273,panini,7,3,4,0,9650,14
273,273,Lorri,7,3,4,0,9650,14
274,275,GODLIKE,1,2,1,0,9437,4
275,276,Sp1ke,5,6,1,0,9428,12
276,277,Kongared,12,6,6,0,9380,24
277,277,wannafly,12,6,6,0,9380,24
278,279,Iyo,11,1,2,0,9331,14
279,280,bnj,4,2,1,0,9255,7
280,281,b0i,3,2,2,0,9225,7
281,282,Kant,10,0,2,0,9193,12
282,283,ChoboMe,7,5,2,0,9192,14
283,284,gaabxx,2,1,0,0,9080,3
284,285,asteriskk,7,6,2,0,9033,15
285,286,it not han,5,3,3,0,9020,11
286,287,NLaaeR,8,6,3,0,9006,17
287,288,fra,4,2,1,0,8953,7
288,289,shion,4,2,1,0,8908,7
289,290,insider,7,5,2,0,8895,14
290,291,myssen,3,3,1,0,8888,7
291,292,NcSlasher,6,5,2,0,8874,13
292,293,bang,5,3,0,0,8870,8
293,293,Moh,8,6,2,0,8870,16
294,295,OuTLaW,9,1,2,0,8853,12
295,296,Skadoodle,4,3,0,0,8850,7
296,297,Clawdia,2,4,2,0,8800,8
297,298,DeNaro,3,1,0,0,8732,4
298,299,Eugene,0,3,1,0,8731,4
299,300,bramz,13,1,2,0,8674,16
300,301,jfoeN,13,4,4,0,8672,21
301,302,retrQ,14,10,1,0,8669,25
302,303,Fr4nky,8,5,2,0,8663,15
303,304,frostmind,5,3,1,0,8625,9
304,305,JinNy,12,8,5,0,8598,25
305,306,Depyro,7,5,3,0,8591,15
306,306,Eeyore,6,6,1,0,8591,13
307,306,Milk,8,0,2,0,8591,10
308,309,t3xture,0,1,1,0,8571,2
309,310,Alejo,13,5,2,0,8534,20
310,310,sickLy,13,6,2,0,8534,21
311,312,iNTRO,0,2,1,0,8472,3
312,313,Texta,7,5,0,0,8440,12
313,313,tucks,7,5,0,0,8440,12
314,315,RockeT,3,9,4,0,8422,16
315,316,BraveAF,1,4,1,0,8414,6
316,317,light,2,1,0,0,8388,3
317,318,Kehmicals,4,3,2,0,8361,9
318,319,pleets,5,2,1,0,8354,8
319,320,gob b,21,5,2,0,8337,28
320,321,vakk,7,3,2,0,8317,12
321,322,Shniider,7,5,1,0,8249,13
322,323,Dobsha,5,5,2,0,8150,12
323,324,THEE,7,3,4,0,8132,14
324,325,Acetics,13,8,6,0,8124,27
325,326,RUBINO,0,1,0,0,8122,1
326,327,Gray,10,4,1,0,8114,15
327,328,vice,3,5,4,0,8105,12
328,329,TiGG,3,4,3,0,8100,10
329,330,psy,7,11,7,0,8061,25
330,331,ban,5,7,3,0,8057,15
331,332,c4Lypso,7,5,0,0,8037,12
332,333,Rawfiul,5,7,5,0,8008,17
333,334,Caz,4,7,2,0,8003,13
334,335,BEAST,5,8,3,0,7968,16
335,336,Sand,7,3,2,0,7967,12
336,337,Russ,3,4,0,0,7955,7
337,338,ntk,2,3,0,0,7937,5
338,339,minse,11,6,2,0,7934,19
339,340,xander,4,8,4,0,7932,16
340,341,NaturE,0,3,1,0,7930,4
341,342,7ssk7,7,6,2,0,7919,15
342,343,Bunny,1,1,0,0,7914,2
343,344,SkaNoodles,7,2,1,0,7867,10
344,345,fiveK,2,1,2,0,7843,5
345,346,disk0,7,4,1,0,7808,12
346,347,naxy,16,7,1,0,7802,24
347,348,Rexy,4,12,5,0,7798,21
348,349,drn,16,4,1,0,7792,21
349,350,nat1,16,2,1,0,7782,19
350,351,bstrdd,15,4,1,0,7755,20
351,352,Paincakes,15,2,1,0,7745,18
352,353,daiki,15,2,1,0,7711,18
353,354,RvK,4,7,4,0,7692,15
354,355,hikkA,6,8,8,0,7659,22
355,356,sonder,8,2,3,0,7650,13
356,357,GodDead,0,2,0,0,7642,2
357,358,liazzi,1,2,0,0,7617,3
358,359,phaze,6,4,1,0,7544,11
359,360,blackhawk,6,11,5,0,7523,22
360,361,Whimp,5,10,6,0,7485,21
361,362,AslaN,23,4,1,0,7457,28
362,363,autumn,7,3,1,0,7448,11
363,364,Kanpeki,9,1,2,0,7435,12
364,365,Astell,2,2,1,0,7428,5
365,366,Akashi,3,2,3,0,7389,8
366,367,Zander,4,4,3,0,7380,11
367,368,Rheat,9,3,0,0,7361,12
368,369,Clarenz,4,7,3,0,7332,14
369,370,randyySavage,14,9,1,0,7329,24
370,371,RAINMAKER,11,4,2,0,7308,17
371,372,dinkzj,8,8,2,0,7299,18
372,373,shooterR,7,0,2,0,7298,9
373,374,Meiy,3,2,1,0,7293,6
374,375,Moe40,7,3,1,0,7274,11
375,376,k1Ng,6,0,2,0,7269,8
376,377,Lok1,3,2,4,0,7255,9
377,378,soulM8,5,0,2,0,7253,7
378,379,trexx,3,4,0,0,7251,7
379,380,AZK,4,3,0,0,7250,7
380,380,showliana,3,2,2,0,7250,7
381,382,AztKk,3,6,5,0,7244,14
382,383,Cla,6,3,2,0,7236,11
383,383,Ninou,6,3,2,0,7236,11
384,383,LiriLia,6,3,2,0,7236,11
385,386,naTz,4,3,2,0,7228,9
386,387,hvoya,7,4,3,0,7227,14
387,388,v1nNy,10,1,2,0,7185,13
388,389,BabyJ,1,6,0,0,7180,7
389,390,rain,3,2,2,0,7160,7
390,390,EMUHLEET,3,2,2,0,7160,7
391,390,Theia,3,2,2,0,7160,7
392,393,Sliicyy,6,3,2,0,7158,11
393,394,HsB,4,0,3,0,7156,7
394,395,iFly,5,8,4,0,7151,17
395,396,Gucc107,12,3,2,0,7150,17
396,397,cath,3,8,1,0,7130,12
397,398,Pooh1Tap,7,1,1,0,7110,9
398,399,Kishi,3,2,3,0,7074,8
399,400,poiz,1,3,1,0,7060,5
400,401,kAdavra,2,0,1,0,7059,3
401,402,Danielesflo,6,8,2,0,7050,16
402,403,Puleule,13,3,4,0,7025,20
403,404,koosta,0,0,1,0,7000,1
404,405,zAAz,2,1,1,0,6991,4
405,405,mimi,2,1,1,0,6991,4
406,405,juliano,2,1,1,0,6991,4
407,405,Petra,2,1,1,0,6991,4
408,409,hype,3,2,1,0,6986,6
409,410,RyZzi,3,1,0,0,6980,4
410,411,alvar,8,0,1,0,6960,9
411,412,rise,2,4,3,0,6950,9
412,413,Daicute,3,1,2,0,6918,6
413,414,aspas,3,1,0,0,6916,4
414,415,Dcop,14,4,1,0,6915,19
415,416,Boo,9,3,0,0,6883,12
416,417,SpY,7,0,1,0,6800,8
417,418,adrnking,8,4,1,0,6780,13
418,419,Jeong Hi,4,2,1,0,6769,7
419,419,Closer,5,3,1,0,6769,9
420,421,Aleko,5,4,1,0,6740,10
421,422,XXiF,6,9,0,0,6680,15
422,423,glovee,0,2,0,0,6666,2
423,424,Governor,8,9,2,0,6664,19
424,425,Lee,8,7,2,0,6656,17
425,426,Dazlly,5,7,4,0,6645,16
426,427,tsack,4,3,1,0,6555,8
427,428,POACH,5,3,1,0,6535,9
428,429,Relyks,3,4,3,0,6510,10
429,430,Bgg,9,7,0,0,6467,16
430,431,Obnoks,18,2,1,0,6457,21
431,432,tayhuhu,10,12,2,0,6431,24
432,433,Zik,10,5,3,0,6409,18
433,434,Muj,1,0,1,0,6400,2
434,435,shiba,2,4,2,0,6396,8
435,436,Bob,8,8,0,0,6355,16
436,437,arch,6,6,4,0,6348,16
437,438,spellfull,7,6,0,0,6330,13
438,439,Nelo,6,3,1,0,6322,10
439,440,Sylvan,1,2,0,0,6312,3
440,441,mw1,4,2,0,0,6270,6
441,442,cactuzio,11,2,0,0,6236,13
442,443,zyad,7,4,5,0,6226,16
