Rank,Team,Gold,Silver,Bronze,S Tier,Earnings,tournaments won
126,Liberty Female,3,6,1,0,"$16,748",10
127,Prince,0,0,0,0,"$16,714",0
128,YaLLa Esports,7,3,0,0,"$16,550",10
129,China Nguyen,9,4,1,0,"$16,500",14
130,Movistar Riders,2,4,2,0,"$16,487",8
131,Opportunists,7,1,0,0,"$16,461",8
132,On Sla2ers,0,1,0,0,"$16,386",1
133,Team XO,1,6,2,0,"$16,300",9
134,UCAM Esports Club,2,3,2,0,"$16,250",7
135,need more DM,5,1,2,0,"$16,162",8
136,Akrew,5,0,0,0,"$16,125",5
137,Built By Gamers,2,3,0,0,"$16,075",5
138,nolpenki,5,3,0,0,"$16,059",8
139,BlackBird Ignis,2,1,1,0,"$16,005",4
140,Action PH,1,3,2,0,"$15,948",6
141,Rare Esports,0,0,0,0,"$15,708",0
142,Fancy United Esports,5,2,1,0,"$15,613",8
143,EZ5,7,2,2,0,"$15,500",11
144,Ballista Esports,0,0,1,0,"$15,455",1
145,REJECT,1,2,3,0,"$15,453",6
146,EXO Clan,3,2,0,0,"$15,409",5
147,HEET,5,1,0,0,"$15,305",6
148,Royal Never Give Up,10,9,3,0,"$14,959",22
149,INGAMING Esports,3,3,0,0,"$14,840",6
150,Evil Geniuses,0,1,0,0,"$14,500",1
151,Team Majesty,4,2,3,0,"$14,366",9
152,ownage,6,7,2,0,"$14,332",15
153,OtherSide Esports,0,1,2,0,"$14,108",3
154,Susquehanna Soniqs,3,5,0,0,"$14,000",8
155,University of Houston Premiere,2,4,1,0,"$13,900",7
156,FAV gaming,1,2,1,0,"$13,884",4
157,Tales of Eastern,2,2,1,0,"$13,519",5
158,Cyber Skull Esports,0,0,0,0,"$13,247",0
159,IVY,4,3,2,0,"$13,231",9
160,Border Monsters,5,1,0,0,"$13,100",6
160,Pretty Boyz,4,3,0,0,"$13,100",7
162,Kingsmen,1,5,4,0,"$13,060",10
163,Big Frames,8,5,0,0,"$13,050",13
164,StartedFromCS,1,2,2,0,"$12,647",5
165,Elysium,13,6,1,0,"$12,625",20
166,iPon Esport,15,11,2,0,"$12,358",28
167,Mindfreak,1,5,0,0,"$11,832",6
168,VALORANDO,8,3,0,0,"$11,826",11
169,Ghost Gaming,2,2,0,0,"$11,600",4
170,Bottom Fraggers,6,5,0,0,"$11,564",11
171,Wygers Argentina,1,2,0,0,"$11,500",3
172,SLICK,0,0,0,0,"$11,383",0
173,HypHypHyp,5,1,1,0,"$11,312",7
174,Phoenix1,4,4,0,0,"$11,200",8
175,Anonymo Esports,2,3,1,0,"$11,134",6
176,aNg DarkHorse,0,2,0,0,"$10,868",2
177,Raise Your Edge Gaming,0,0,0,0,"$10,430",0
178,mouseSpaz,6,1,2,0,"$10,300",9
179,Imperial Esports,0,2,0,0,"$10,048",2
180,Rix.GG Lightning,1,1,0,0,"$10,020",2
181,FUSION,0,1,0,0,"$10,000",1
181,Way 2 French,6,2,1,0,"$10,000",9
183,For The Win Esports,6,1,0,0,"$9,969",7
184,SoaR,2,2,1,0,"$9,900",5
185,Lag Gaming,2,1,1,0,"$9,896",4
186,Wildcard Gaming,1,1,1,0,"$9,814",3
187,F1 x LS Esports,2,2,2,0,"$9,734",6
188,Bonk,0,4,0,0,"$9,725",4
189,Todak,3,1,2,0,"$9,707",6
190,Samurai Esports,3,4,2,0,"$9,704",9
191,THOSE GUYS,6,1,0,0,"$9,573",7
192,Team Finest,2,1,1,0,"$9,463",4
193,Prospects,6,7,0,0,"$9,350",13
194,Stars Horizon,1,0,0,0,"$9,285",1
195,AWARIA,1,3,1,0,"$9,280",5
196,XSET Female,0,2,0,0,"$9,250",2
197,Furious Gaming,2,6,2,0,"$9,219",10
198,Sengoku Gaming,0,2,0,0,"$9,132",2
199,CGN Esports,0,4,1,0,"$9,055",5
200,FishkaVTom,9,2,1,0,"$8,917",12
201,İstanbul Wildcats,2,0,0,0,"$8,848",2
202,Reckoning Esports,2,5,5,0,"$8,780",12
203,Purple Cobras,4,1,1,0,"$8,672",6
204,Excel Esports,1,1,0,0,"$8,666",2
205,PartyParrots,4,1,0,0,"$8,531",5
206,Moon Raccoons,1,5,2,0,"$8,425",8
207,APEX PEOPLE,3,0,0,0,"$8,410",3
208,PENTA,2,0,1,0,"$8,409",3
209,Oasis Gaming,1,1,1,0,"$8,405",3
210,Stars Horizon Vênus,1,1,1,0,"$8,395",3
211,ROX TEAM,2,1,1,0,"$8,282",4
212,tyeasy,0,1,1,0,"$8,261",2
213,Echo 8,5,1,1,0,"$8,250",7
214,DivisionX Gaming,3,4,3,0,"$8,246",10
215,KOVA,0,1,0,0,"$8,206",1
216,B4 Esports,2,2,1,0,"$8,127",5
217,DetonatioN Gaming,1,1,1,0,"$8,089",3
217,True Rippers Esports,1,2,5,0,"$8,089",8
219,Zero Zone,0,0,1,0,"$8,057",1
220,Moon Raccoons Black,0,0,1,0,"$8,000",1
220,Dignitas,0,1,0,0,"$8,000",1
222,Keyd Stars Athenas,0,2,2,0,"$7,838",4
223,Divinity,0,0,0,0,"$7,783",0
224,Anatolia Esports,0,3,0,0,"$7,758",3
225,Spot Up,6,3,3,0,"$7,600",12
226,Only One Word,2,0,1,0,"$7,580",3
227,Nigma Galaxy,2,2,0,0,"$7,511",4
228,TSM Academy,2,2,0,0,"$7,500",4
229,Nigma Galaxy Female,3,4,1,0,"$7,470",8
230,Kafalar Esports,0,1,0,0,"$7,460",1
231,EDward Gaming,5,7,3,0,"$7,260",15
232,3BL Esports,1,2,2,0,"$7,209",5
233,Vorax,0,1,0,0,"$7,197",1
234,Team Underrated,4,3,0,0,"$7,100",7
234,together we are terrific,4,3,0,0,"$7,100",7
236,Team Bliss,4,0,2,0,"$6,920",6
237,TBK Esports,0,0,0,0,"$6,855",0
238,Ovation eSports,2,5,3,0,"$6,843",10
239,KPI Gaming,3,0,1,0,"$6,780",4
240,Noble,2,1,1,0,"$6,775",4
241,NG.Black,1,1,1,0,"$6,697",3
242,KaiXin Esports,8,4,6,0,"$6,665",18
243,FS Esports,5,3,1,0,"$6,626",9
244,Geekay Esports,1,2,0,0,"$6,548",3
245,Overtime Esports,1,4,0,0,"$6,535",5
246,HSDIRR,4,3,0,0,"$6,447",7
247,Team Launch,1,1,0,0,"$6,369",2
248,Digital Athletics,2,1,0,0,"$6,359",3
249,Thunderbolts Gaming,0,1,1,0,"$6,296",2
250,GodLike Esports,0,3,3,0,"$6,290",6
251,Team Falcons,2,0,0,0,"$6,250",2
252,Rix.GG Thunder,0,1,1,0,"$6,128",2
253,FABRIKEN,3,5,1,0,"$6,073",9
254,KONE,0,1,2,0,"$6,034",3
255,XPLDZ,0,1,1,0,"$6,005",2
256,PACT,4,1,0,0,"$5,899",5
257,Anorthosis Famagusta Esports,2,1,3,0,"$5,896",6
258,Last Round Save,7,4,0,0,"$5,815",11
259,Skull Cracker Fem,3,3,0,0,"$5,746",6
260,PROPARTY,0,1,0,0,"$5,662",1
261,NOTHING2LOSE,2,1,0,0,"$5,650",3
262,Team Queso,3,2,0,0,"$5,570",5
263,smoke,6,5,0,0,"$5,550",11
264,DKS Esports,2,2,1,0,"$5,538",5
265,Ferrari Peek,8,1,0,0,"$5,477",9
266,Man I Love Fwogs,1,3,1,0,"$5,450",5
267,Angry Titans,3,1,0,0,"$5,388",4
268,Squad5,2,0,0,0,"$5,351",2
269,Project X,3,3,0,0,"$5,176",6
270,BearClaw Gaming,0,1,0,0,"$5,142",1
271,Mod-Z Esports,0,0,0,0,"$5,125",0
272,Entropiq,2,2,0,0,"$5,067",4
273,PEACE,0,2,0,0,"$5,066",2
274,ArkAngel,1,2,0,0,"$5,016",3
275,ZFGaming,1,1,1,0,"$5,007",3
276,Axsor,4,1,0,0,"$4,970",5
277,Cairo City G'zzz,0,2,2,0,"$4,872",4
278,Team oNe,0,3,0,0,"$4,818",3
279,Aricat Esport,4,0,0,0,"$4,798",4
280,Team Serenity,2,6,2,0,"$4,775",10
281,Gen.G Black,1,2,1,0,"$4,750",4
282,SuperMassive Blaze Female,0,2,0,0,"$4,668",2
283,GiefKalash,3,2,0,0,"$4,632",5
284,Rebirth Esports,1,3,3,0,"$4,531",7
285,SV Empire,0,4,3,0,"$4,530",7
285,SAW,3,1,0,0,"$4,530",4
287,YFP Gaming,2,3,1,0,"$4,500",6
288,Rio Company,0,0,0,0,"$4,473",0
289,TUBEPLE Gaming,0,0,0,0,"$4,457",0
290,Warriors,3,3,1,0,"$4,299",7
291,MOUZ,0,0,1,0,"$4,266",1
292,Beşiktaş Esports,0,0,1,0,"$4,196",1
293,Team Weibo,3,4,3,0,"$4,108",10
294,Zeal Esports,1,2,1,0,"$4,087",4
295,ehehxd,4,6,0,0,"$4,034",10
296,INTZ Angels,2,3,0,0,"$4,021",5
297,No Mercy,3,1,0,0,"$4,009",4
298,Morning Light,2,3,1,0,"$4,000",6
298,KRÜ Fem,3,0,0,0,"$4,000",3
300,Exceeli Esports,2,1,1,0,"$3,976",4
301,Wichita Wolves,7,2,2,0,"$3,938",11
302,Kaos Latin Gamers,2,1,1,0,"$3,900",4
303,Thailand Attitude,2,1,0,0,"$3,841",3
304,BLUE BEES,1,1,0,0,"$3,813",2
305,Illuminar Gaming,1,2,0,0,"$3,804",3
306,Mystify,3,2,1,0,"$3,759",6
307,Team Lixa,10,4,3,0,"$3,744",17
308,Wygers,1,0,2,0,"$3,734",3
309,Highground,2,4,0,0,"$3,700",6
310,Worst Players,1,3,3,0,"$3,668",7
311,Suning,2,2,3,0,"$3,558",7
312,Chakalaka,6,1,0,0,"$3,553",7
313,LOL-,1,1,0,0,"$3,399",2
314,Surreal Esports,3,1,1,0,"$3,364",5
315,Oxygen Supremacy,2,3,2,0,"$3,350",7
316,Elevate,1,2,1,0,"$3,325",4
317,Legacy Esports,0,1,0,0,"$3,298",1
318,Team Liquid Brazil,2,0,0,0,"$3,278",2
319,ROYALS,2,1,0,0,"$3,262",3
